Text,Period
mostrar porqparte tinhamas veo vasco martins melloq co ra inha pousaua fote giraldo q'elrey mandara dizerquado partio perocẽq despos elle guarda martim affoso rico homem irmaoqtinha celoricoe linharesfoi oprimei roqse veo pera elrey decastella ficou alli naguardada cousa dsprougue irmao vasco martis porqel le começarade hir pera elle an tes q nenhũ outro elrey veo outro dia algũa gẽte daquel laporq'mandaraqseriao ate duz entas lanças cabo tres di chegou conde mayorgas deshi pero fernandez valasco pero xarmento outros ca pitaẽs quinhentas lanças el rey vendo aluoro gil nam lhevinha falarnem sahia castello disse martim affonso mello houuesse el le falasse,XV
fazer tanto elles jũ tassem todos aquelle dia m oe steiro sam domingos pera uer falar q sobre ello enten dia fazer rezao fica quanto erao requeridos elles disserao aprazia iuntos dia po uo cidade aquellemoestei ropropoz mestre ente dia partir reyno rezoes porque ja dissemos deshi requerido muytas vezes elles todauia ficas defensore elle escusara dello certas rezoes logo assinou pois elles tanto asicauaoe afirmauao todauia nao partisse ficas cidade elle seruiço honra reyno determinaua vontade deficarcom tan to elle estiuesse maneira seruir soportar aquel la honra estado compria defesao reyno elles hu mavoz nao esperado q falasse hũ,XV
ate praça quelle lugar deu hum delles hũa cutilada cabeçade q ca hio morta terra deshi outros começarao cutilar pe la calçada cada hum aprazia estonce leixarao si jazer praça forao comer buscar outros desenfadamen tos acerqua noite vieram aquelles mataram lançaraolhe hum baraço pes leuuaramna ataa rocio cerqua curral vacase lei xando ssi aquelle deshonrado corpo algũs disso ouuerao sentidoo tomarao noite soterrarao escondidamen teque doutra guisa nao erao zados fazer praça cap quarenta oito foy lançado voz pello mestre cidade to maneira pouo ello teue d eveis saber tanto stre tomou cargo regedos fensor reynos soube elrey castel,XV
q taes menagẽs bao erao guardar pois q elrey quebratua ostrautose q todolos fidalgos podiao ẽ ajuda stre sẽ prazmooqueal bẽ poderia jũtar mil homẽs darmas mui tos homẽs peco q poderia ba talhae q valeria porse stre co elles todos pelejar el rey castella q ficarẽ sojeitos castelhanose vzarẽ delles liure talente priol disse q cousas nao estauao tal pera tal obra poder começar acabar seguramẽte porem nao falasse taes historias nuno aluerez vendo q achaua priol arradado desua entẽ çaofalou co diogo aluerez irmao ' q todauia pera stre elle outorgouq prazia eficarao ambos acordo cap trinta oito,XV
pressa condado saindo pella porta hum escudeiro co iohao affonso chamado nome pedroanes lobato sabendo elle quizera matar riomayor dissemos disse conde queria matas estonce pois auia tempo aza fazer saluo conde barcellos ainda desejasse ver morto fendeolho nao fizesse assi escapou conde iohao fer nandez aquelle serao porque pa rece nao viera hora cap cinco conde iohao fer nandez ouuera morte porque azo desuiou morte q vvera ainda conde mor to outra vez vede queguisa azaua assi he escreuendo raynha atodo los reyno viessem sa himento mes auiu fazer elrey dom fernando mandou recado nuno al uarez estaua antre,XV
seruiço nuno alue rez lho agardeceo boas pala uras diẽdo q'elle prestes pera lho galardoar toda cousa honra proueito boos criados migos cap trinta nove nuno aluerez chegou lisboae rezoẽs disse mestre n uno aluerez outro dia seguio caminho estando entao rainha alanquer ella condes irmaos outros muytos dissemos chegou aluerca terminou dormir ally rainha soube elle hia caminho lisboa pera mestre quizera mandar el le certas gentes prende dizendo contra aquelles erao presentes vistes nun qua tal sandice nunoque eucriey tamanino leyxou priol irmao hia agora vayse lisboa pera mestre senhora disserao al gũs hi estauam riao bem nuno,XV
desejo bra escreuer verdade outra mestura leixando bons aque cimentos todo fingido louuor mormente mostrar pouo qua esquer contrairas cousas guisa auierem senhor deos outorgasse algũs es creuendo nao negou conuem saber obras calra certidao verdade duuida nao so mente mentir sabemos ainda errado falso nao riamos dizer assi outra cousa nao he deerrar saluo cuidar he verdade aquello q he falso enganados ig norancia velhas escrituras desuairados authores bem podia mos ditando errar porem es creuendo homem nao he certo contar curto falara largo deuemos mentira co stume he afastado sa vontade quanto cui dado diligencia vimos gran des,XV
nao doydeito p assado aquel le gram arroido co gentes ci dade chegarao paço rainha bispo foy morto guisa ouuistes gerouse antre elles hũa oniao mortal odio contra qua esquer entençao nam ti nhao tanto nenhum lu gar seguro aquelles nao seguiao opiniao cada hũ ua folgança officio toda occupaçao juntaremse mogotes falar morte conde cousas auiao acon tecido deshi pois elrey ca stella deziao vinha rey maneira eeee defen sao delle hũs nomeauao in fante dom iohao dizendo nao podia ca ja preso castella nunca hauia solto ventura matariao azo porque esti assi acon tecera compria outreo infante reyno,XV
vzarẽ delles liure talente priol disse q cousas nao estauao tal pera tal obra poder começar acabar seguramẽte porem nao falasse taes historias nuno aluerez vendo q achaua priol arradado desua entẽ çaofalou co diogo aluerez irmao ' q todauia pera stre elle outorgouq prazia eficarao ambos acordo cap trinta oito nuno aluerez descobrio seusq queria ir lisboa pera seruir mestre p artio priol pe ra terra cami nho golegaanu noaluerez diogo aluerez irmaos onde mestre esteua segundo ante ti nha acordado tẽdo arredado ata tres legoas dolugar diogo aluerez arrependeo parti fizera disse queria tornar pera priol irmao nuno,XV
tal sandice leuanta uao dous capateiros dous alfa yates querendo tomar mestre senhor nao cousa pera ir diante tanto nospor segurança bens leyxaβe cidade pera elles nunqua tal vistes disse escudeiro quado ca parece he assi dizeis lasao semelhame to nao valeis nada qua to falaisque tudo he vento cap vinte sete mestre outor gou deficar regedor fensor reyno foy falado camara cidade sobre ficada delle m qvanto al uoro gonçalues aluoro paez enuiados alaquer aluoroçaraose ge tes cidade sabendo el rey castella vinha chegan reyno disserao huns co tra outros fazer enuiar recado rainha nem_ poer esto longa tardança,XV
ninguem entrar atorre quato cima defender quizes bispo vendo eraca stellao naçao aelles contrai ra receauao tal oniao todo sesudo deue recear nao dauao lugar entrassem porem vendose culpa des hi tal pessoa ecclesiastica segu randoo elles porem primeiro osue elle estauao ouuerao entrada acima perguntando porque nao mandara dar campana pois aquellas gentes bradauao repicassem elle escusou per mansas bo rezoes geito todos fo rao contentes seca sanha taes feitos nenhũa rezao es guarda começou tanto dar entendimendos pouo q porta principal igreja estaua fazendo nao deitauao bis po fundo dizendo guarday uos nao vamos la ca hi mos,XV
vossa vontade he guardar comprir todalas cousas trau tos conteudos segundo tendes ju radoe affirmadoe elles entendem q ha hi algũa cousa enadir mingoar elles ja proueito honra reyno sois prestes fazer sẽ ello guardado vossa honra seruiço sentirdes ainda parece he bem vin taes embaxadores façaes muyta honrae parta es elles vossos dinheiros joyase q digaes quereis prazer ter taes maneiras co ellesq voso serui çoe proueito reynoe honra moradores delle outrosi po deis dizer q'bem sabem trautos jurados antre el rey d fernando he conteudo rainha dona lianor vossa so gra gouernança reyno ate hajaes filho passe quatorze,XV
aeseq certos q faria ello muytas merces quer cousa qlhe requeressem cap trinta rainha partio alanquer pera santarem dar rezoes diβe lugar ante partisse rainha soube gonçalo vasquezque es tonce alcayde sanctarem lugar erao prestes pera uiço prazia hida pera la ondenou partir alanquer fes ta natal leyxou alcay castello vasco peresdeca moese guarda villa mar tim gonçalues ataide an partisse mandou chamar homes boos villa disse palauras amigos bem sabeis villa he minha_ vosoutros todos sois deshi vedes bem aluoroço lis boa mestre q nao seydis ella he mestre christus sede bombardas marauilhome foy sanha sandice fez mouer tal,XV
stre respondeo asperamente tornasse prata onde acha ra ca elle nao viera ally quello fazer q feito lourenço martins fezeo assi fidalgos acompanha uao conde q ' elle vi nhao nao sabendo parte q ' mestre feito vinhao jaa to armados pera paço rai nha vindo muyto acerca del les voltada gente começa ua jaa feruer pella rua al gũs sahirao dentreo disserao q nao laa conde jaa morto tas cerradas gentes erao tantas vinhao contra pa ços segundo deziao q laa fossẽ q ' nao escaparia nenhũ delles veriao desy mao pezar tornarao entonce pera hu vierao ca hum,XV
sentido morte delle porque estauao bis po vendo oleuar lli deitarao torre fundo coitado dotaballiao qie tao pou ca culpa auia outros co meçrao trazer afundo doestar empuxar dizendo q bispo estaua bem sabia parte daquella treiçao tatas derao punhadas ataa q co meçarao dar febidas mata raono assu mataram todos tres outros fogirao jouueram al li dia ea noite priol tabaliao eem dia algũas pessoas refeces lançaram bispo onde jazia nu hũ bara ço pernas chamado muitos cachopos arrastassem hia hum rustico bradando dian iustiça manda fazer noβo senhor papa urbano sexto tredor scismatico castellao porque nao sancta madre,XV
deolhe estonce pois elles assi deziao tomar cargo defensor pore corpo quer auentuura honra reyno esua defesao delles qua mestre outorgou desta guisa ter cuidado regimento rey toda tristeza foy ge tes conraçoes nao derao lu gar nenhũa trespassaçao mor todos ledos sob boa esperança fundada bemauen turado fim esforçarao leuar feito diante tendo grande fe deus auia ajudar disyerao logo mestre quanto cidade hauia muytos honrados cidadaos alli nao estauao presentes cha madaos camara concelho cha mados camara concelho todo rezoado preposto quato elles dito q'guisa outorgasse todos q elles disserao queriao fazer mestre disse muy bem forao outro,XV
apar taraose todos porta piquena santa maria feirae começa tao ver aquelloque rai nha escreueo pouo muyto estaua pello adro aguardan dissessem nouas erao aquellasque rainha man daua dizere trigandose von tades todosdisse hum q'cha mauao gonçalo ouelheiro con tra outros nao hora aqui nenhumque va saber cartas sao recado he rainha manda falou elle esto ce co hum boom escudeiro q chamauao gonçalo nunes dal uellosque grandes pequenos disse contra vasco rodriguez carua lhal queresme ajudartue hire mos saber cartas sao elle disseque prazia entao juntarao elles ate huns trinta chegarao hu estauao quelles honradose falou gon çalo nunez,XV
dese joassi rancor al gũas pessoas nao cessa pensar des uayrados caminhos pague azinha mortal sanha tanto rainha dona lia vontade femenina geralmente he desejador vingança deshi vzanso hũ grandioso coraçaode natu reza nao escassa es tonce nenhũa cousa enten dimento representada cuidar miude todolos mo dosporque mestre podesse uer toda comprida emmenda sendo certa elle trigaua pera partir naosque ja bem abitalhadas hir perain graterrae nenhũs rogosne prezes pouo podiao fazer reter entendendo vinda delrey castella nao podia tao apressa serque elle cedo mar nao partisse leyxado modo vindadel reyque determinado pera delle vingada cuidou or denar outra maneira,XV
leuato lisboa cuidou q bem desaber algũa guisa votades delles ante lu gar chegasse escreueo gonçalo vasquez azeuedo estaua santare alcaydo q falasse co bos lugar milhor maneira q entendese soubes votades q taes erao co tra ellae elles achasse fizesse saber segũ visse q compria seruiço gonçalo vasquez madou dizer hũ dia lugar qse ajũtas todos igreja s iohao alpiao falar elles al gũas cousas q'hi jũtos chamouos todos pera hum gram curral igreja dis guisa homes bosbem sabeis saovoβo visinho natural deste reyno aqui elle bes casas tantas q outra parte pellaqual rezao sepre quiz quero bem lugar,XV
vvindo esto q aconteceo emalgũs lugares aluoro mẽ dez oliueira al cayde mor cida euora entao castello rainha vendo semelhantes sao aco tecia outros podia acontecer ellee nao outras gẽ tes consigo defender podessesaluo alguns criados assi gonçaleanes melao martim brabol ruy gyle tros ataa seteou oito todos madou hũ dia chamar martim affoso carualhoqera entao juiz eassi casado hũa don zella rainha d lianorego çalo lourẽço alcayde pequeno vasco martins poyzado escri uao camara concelhoe ruy gonçaluez medidor mar tim velho aluoro vasquez mercador outros honrados lugar indo todos cha mado prepoz tanta taes rezoẽs parte rainha elle queria,XV
gram poder reynomas q ' sefosse pe ra ingraterra espertado muitas re zoẽsporq deuia fazere sinando certos proueitos segu rançasq'se della seguio dizen antre outras cousasq azo tal partida elle poderia ala uer tantas ajudas gentes pera q poderia tornar rey noe cobrar co ho rasem perdas gentes dano terra outros erao todo co tra opiniaodesfazendo osdi tos taes co outras cotrairas re zoẽs assi nuno aluereze ruy pereiraealuoro vazsquez goese odoutoriohao regras aluoro paeze odoutor mar tim affosodizẽdo q ' partida mestre nao eraboanẽ seruiço deosnẽ seuporqindose elle fo ra terra ficaua reyno desẽpa radoese defẽsor tato co braria,XV
ra disse mestre he muygrao verdade porem eβo fazem elles porque ham muy bem fazer he pello contrairo ca uemos pello miudo paz pou cas vezes guerra po paz nao vzamos ar viesse guerra nao poderiamos soportar falado esto outras cousas chega raose horas comer espe diose conde barcellos deshi outros ca delles daua vontade aquello fez ficando assi conde iohao fernandez aga stauaselhe coraçao tornou dizer mestre senhor to dauia comer heis commigo nao comerey disse mestre ca feyto comer sy come reis disse elle quanto falais irey mandar fazer preβtes nao vades disse stre hey falar hũa cousa,XV
daquestes aluoroços erao gonçaloeanes cabreiro vi centeannes alfayate seguindo feitos deu von tadee traziao appellido abitea bit aqui desdabite al gũs delles deziao vamos foao mataloou roubalo logo assi fei tosẽ valer nanhũ grades cidadepostoq'se elle qui zesse poer ora aueo nesta zao estauao freirase abbades sa sam bento hum moesteiro nao longe desse lo gar dentro cidade humas casas sao muro brados corressem temor guerra ja estonce co meçaua descubertamente andando pouo tal aluo roço outra occupaçam despendesse tempo naceo hũa vozdizendo gonçaloannes cabreiro hum capataes quella oniao falou contra aquel le pouo disse vamos matar aleiuosa abbadessa he,XV
napraçaeordenarao poer nele molheres filhos dentro estauao alcayde todos natu raes lugar dentro quan esto viraodisserao iohanne mendez deixasse castello villaque doutra guisa nao entendiao dajudarvendo elle tal apertada mandou dizer defora enuias pessoa segura fa lasse acordarsehia co elles ma darao estonce frey lourenço gueardiao sam francisco outros elle castello ioanne mendez pro poz muitas rezoẽs escuzar nao ter castella verdadeiro portuguez elles falas nao prestando foy determinado todauia leixasse castelloe gue hum villa ti uesseoutorgou alcayde q prazia porque nao pode fa zer foy entregue hum escu deiroque chamauao martim pe reze alcayde logo castello foy pera mouraque,XV
dom io hao affonso ruy perei ra outros quais certifi carao seriao presentes elle ello pozesse quizesse poer mao quanto rainha ordenaua cousas sobre regimento percebimen to reyno mestre porem sempre estaua hia elle muitas vezes casade aluoro pa ez algũas horas conde outras departe falar elle sobre morte conde iohao fernandez especialmente co mo poderia auer ajuda po uo parte aluoro paez talentoso ver tal feito cabado todauia certificaua sy nao elle descobris nenhum tal segredo en tendia certo nao boa vontadeq gentes tinhao rainha conde faria to mouer contra elles vissem lugar tempo azado acordarao pera todo lhor,XV
bom tugal tomasse logo aquella ba deira aleuantasse elle segun costume faz algum rey nouamente vasco martins disse lho grande mer ce tal carrego nam fi lharia elle vassalo del rey portugal guarda more poderia rece ber guerra contra reyno elle natural ca hiria caso menos valer cap cinquenta seis q acoteceo quado alça rao pẽdao elreydecastella q vando elrey vio tençao nao tomar carre go alferez mandou chamar iohao furtado mendoçae deulhe cargo quelle officioe entregoulhe aba deira iohao furtado teuelho grande merce aleuatoua logo começarao dar trobetas dizẽdo grades vozes real real el rey dioao castella portugal assi,XV
p ois huma naes espritaes feitos delles segue nenhum sentido praz mar mestre vendo cousas qye seguiram dizen elle desordenada cobiça reyna hauer tro senhorio reyno nao outra cousase moueo ma tar conde ioham fernandez ca vontade nunqua foy ma somente vzar honrosa façanha vindando des honra irmao antes poz vida honra grande ventura temendo fazer tal obra despoendo leyxar reyno mestrado esto defeito quizera fazer tanto raynha par tio pera alanquer elle ficou cidade ouue mestre con selho segurança vi hir pera ingraterra ven nao conuinha fi car reyno mandou fa zer prestes todo pria pera ida duas naos,XV
falam ja elles co mo primeira mestre come çou rir desto encomendou nuno aluarez logo traba lhasse dauer parte gentes podesse out tro dia morto conde iohao fernandez daqual cousa nuno aluarezmuyto aprouue logo partio mestre pou sada pera auiar concertar pera tal feito compria corregendose ello gra aguça manoulhe mestre dizer cessasse dis sera porque senao podia en tao fazer nuno aluarez foy sto muy anojado poer mor espaço tal ira tornou mestre falandolhe sobre esto muitas boas rezoẽs pello reduzir fazer logo vendo nao podia espediose delle foyse pera priol irmao jaa partido caminho san ctarem encalcou ponte,XV
mestre vendo tao gran aluoroço ca vez acendia disseram merce mo strar aquellas gentes doutra ma neira poderiao quebrar portas poer fogo entrando si dentro força nao pode ria tolher fazer quizessem ally mostrou stre hũa grande janella vi nha sobre rua onde estaua al uoro paez força gẽ disse amigos apacificayuos ca viuo sao deos gra ças tanta toruaçao delles assi tinhao ja crença mestre morto taes auia hy aporfiauao nao quelle porem conhecendoo to claramente ouuerao grao pra zer virao diziao hũs contra outros mal faz po is matou tredor conde q nao matou logo aleiousa elle credes,XV
fariao elle mandagge merce delrey la hirque elle acolheria logo ella elrey prougue muyto q bispo disse creceo vontade entrar toda uia portugal partio logo pouoa montaluaoonde ua enuiando copanhase ge armas q viesse pera elle pressa onde quer q elle che gou elreye rainha poteq entao arcebispo fazia tejo mandoulhe arcebispo dar elles todas cousas q lhemester faziao estiuerao ahi dous dias partirao pera talauei rae dahi forao prasẽça alli disse elrey seucocelho q bispo guarda dissera q daria aquella cidadee q'era qlhes delo pareciae algũs del les disserao veguadas veguar qfosse merce esguardar tratosq antre ellee tugal hauia,XV
pa recebeo boo conselho creo madre dizia foy rezamporque nao veo fa lar elreye nao primeira co mo algũs disseram cap sessenta dorecado man dou rainha dona lianor algũs concelhos mor conde iohao fernandez n mes passado acer ca deste luto co meçou nouo an castella nacença senhor iesv christo mil trezentos oitenta quatroe cesar mil quatrocentos vinte dous pois morte conde ioham fernandezestando entao rai nha alanquer mandou car tas algũsconcelhosem lar gamente fez saber quanto fi caua lastimada chea branto morte delrey marido fi namento reynos ficaram rainha dona breatiz filhae senam seguir jũtamentos stes reynos castella sempre,XV
chegou guardapen elrey viesse pera elle fizerao alũs outrose el le demouido foy segundo algũs escreuem outros assinao liuros rezoẽs algũas perque leixou fazer huns contao elle enuiou estonce hum escudeiro cartas crença hũa vasco martins mello outra vasco martins mo ço filho morreo batalha diante uireisperque rogaua coselhasse maneira entradaque elrey fazia reyno guisa pois via muytos fidalgos daquellacomar ca viremse pera elrey castel lae elle nao faria sobre is so nenhũa cousasem conse lhoe elles mandarao di zer senao viesse pera elle q ' elrey castella nao vinha nam passar caminho nao cercar ellesnem outros postoque pera elle,XV
tas paços jaa cerradas ante chegassem espantosas palauras come çarao dizer hu matao mestre he mestre cerrou portas ally ouuidos brados des uairadas maneiras taes auiao certificauao mestre morto pois portas uao cerradas dizendo britassem entrar dentro veriam mestre cousa aquella del les bradauam lenha viesse lume pera porem fogo portas queimarem tre dor aleiuosa outros afica uao pedindo escadas pera sobir acima pera verem stre todo esto ar roido tam grande senao entendiao huns outros determinauam nenhuma cousa nao somente is to parta paços inda redor delles hu ho men molhers podiao star huns vinhao feixes lenha outros traziam,XV
receo nojo partira lis boae viera sanctarem on estonce estaua po rem rogaua pozesse agu ça caminho chegasse allica ella mui des honrada mestre dauize moradores lisboa quaes entendiaque nao queriao obede cer ellanem auer rainha breatiz molher senho ra discordiae aleuanta mento cidade mestre capitaoecabeçae poendo regedore defensor rey cartas azo grande acrecentamento porem ella irmaos grande fidalgos diuidos bem poderosos auiao assaz fortalezascom podia fazer boa ajuda muitas guisas deshi villa sanctarem ella estaua hũa milhores reyno tanto compria muyto dar trigan ça vinda pera onde ella es taua elrey castella vẽdo recado prouuelhe muyto el lee aquelleq'hauia,XV
reino nao embargado asrezoesq ouuistesq ' dissera frey iohao barroca teçao pore nao reinar tal qsua fama crecese bem milhor deshi doendose terra hu natural aue amadiosa piedade comum pouo qo tato asicaua tomou tal cargo nao doutra guisa espera q oinfantediohao irmao ouuesse azopor algũa maneira liure prisao solto vin reyno podesse cobrar senhor delle algũs di ziaoaqualcousa aelle grade horae façanha louuar q todo mũdo agrao be tendo mestre ordenado fazer saber melhor maneira podesse aueo hum escudei ro criados infante dom iohao andauao castella espargidos delles portugal ouuindo dizer mestre irmao tomara regedore defensor reyno deshicomo outros,XV
ellee tugal hauia juras penas q cahiao ẽ quebra tando qualquer rezaoem ne nhũa maneira deuia passar q entrando tal guisa aquel la cidadeq reyno teme riao delle dizẽdo q'cotra vota dee pezar queria apo derar terra go uernança reyno segundo tratos rainha dona li anor sogra elle direito nenhũa guisa podia fazere q dauao coselho deziao inda dsuiar q elle sabiao cidade guarda hauia hum castello muy boo oqual aluoro gil cabral q nao parte bis poe nao compria entrar cidadesẽ cobrar logo aquel le castello tanto nam atriguasse ataa q cousas milhor encaminhassem seruiço outros nenhuma cousa curauao,XV
dobras demandou sye lourençoeanes sogro almoxarife delrey dom affonso nam somente mestre ainda alguns outros ella tal rezam ma vontade ne nhuma cousa daua entender rancor tiuesse contra el les falas desem bargos todo feito lidamen dcom bom geito ate vis tempo azado poder vin gar segundo desejo cap dezassete rainha par tio lisboa pera alanquer maneira teue sua_ partida m ovida tal discor dia dissemos trabalhandose seguidores della leuar adiante opiniao rainha posta grandes pensamentos stura temor ca ella certa maneira mestre queria ter ella doutra parte temia moradores cidade assi nao sabia geito tiues segurança vida ho ra,XV
tassem sima fogo pedras quaes della quizessem alguns dentro receandose disto diziao alcaydeque antes sahiriao nao ajudariao defender ocastelloque terem azo ma tas molheres filhos guisa diziao esto an temque gata feitanem ca ua vhea pera hir sima disse nuno aluerez mestre elle queria hir falar martim af fonso valentee affonsoe anes nogueira sobre feito castelloe entendia lho daria mestre disse pra zia foy nuno aluerez ca stelloe disse martim affonso rezoẽs porque deuia dar mestre dizendo nao compria azo per dese cidade reyno ventura posto cousa pois verdadeiro portuguez nao deuia consentir cora çao fazendo doutro geito q todo,XV
saber rainhae condedom iohao delle feita mena gem nuno aluerez disse lo go ficasse determinado ata aquel le dia sofreria cobater desse segurança darrefẽs elle nao sendo acorrido quella sezao entao preitejou martim affonsoque nao lhevin acorro ate quarenta horas q castello entregue stresem outra contenda foy posto arrefens poder nuno alueresaffonsoeanesno gueira trouueo consigo pera pouzada cidade co mo souberao castello preitejadocorriao todos co marcas toda aquella noite posta grande guarda toda lis boa dormindo derrador mon muitas candeas acezas velando grande cuidado pe ra embargar qualquer ajuda contecese vir alcayde mar tim affonso mandou pressa hũ escudeiro alanquerfazendo,XV
par rainha dandolhe tan tas cutiladas assi vonta sobeja cousa ver morto nam fez naquelle dia junta ramse todos outro seguin bandeira tendida praça tendo ordenadoq ' leuasse hũ bo homem lugarq chama uam affosoeanes pateyro leuar nao quizesse matassem logo tro affonsoeanes be desto parte per alguns del les amigos bem cedo pella menhaam pri meiro conuidassem pe ra tal obra foyse praça cidade onde ja todos juntos pera atrazer pera lugar anteque nenhum disses leuasse deitou elle mam bandeira dizendoal tas vozesque ouuirao todos portugal portugal pello stre dauiz entam caualgou affosoeanes riba hum grande fermoso caualo pera,XV
